0	-0.051474
0.01	0.152052
0.02	0.227274
0.03	0.136994
0.04	0.061298
0.05	0.118562
0.06	0.243538
0.07	0.35011
0.08	0.409126
0.09	0.353054
0.1	0.124018
0.11	-0.147134
0.12	-0.227062
0.13	-0.103074
0.14	-0.018526
0.15	-0.119764
0.16	-0.26198
0.17	-0.24494
0.18	-0.059108
0.19	0.191526
0.2	0.441514
0.21	0.636282
0.22	0.695872
0.23	0.612244
0.24	0.483574
0.25	0.388112
0.26	0.322388
0.27	0.290904
0.28	0.323952
0.29	0.374454
0.3	0.34536
0.31	0.264198
0.32	0.282242
0.33	0.449216
0.34	0.630206
0.35	0.689974
0.36	0.614218
0.37	0.416618
0.38	0.103208
0.39	-0.21085
0.4	-0.3294
0.41	-0.21139
0.42	-0.031758
0.43	0.067532
0.44	0.133624
0.45	0.236984
0.46	0.321342
0.47	0.324888
0.48	0.30046
0.49	0.301124
0.5	0.278438
0.51	0.204584
0.52	0.168882
0.53	0.238132
0.54	0.335874
0.55	0.374212
0.56	0.39823
0.57	0.482628
0.58	0.580182
0.59	0.593362
0.6	0.526106
0.61	0.462024
0.62	0.4517
0.63	0.500888
0.64	0.602764
0.65	0.71057
0.66	0.750796
0.67	0.728324
0.68	0.73678
0.69	0.79574
0.7	0.763752
0.71	0.49909
0.72	0.047974
0.73	-0.395934
0.74	-0.671624
0.75	-0.748546
0.76	-0.705686
0.77	-0.650138
0.78	-0.601284
0.79	-0.44669
0.8	-0.087806
0.81	0.37965
0.82	0.740488
0.83	0.913232
0.84	0.997024
0.85	1.059776
0.86	1.037876
0.87	0.881392
0.88	0.639232
0.89	0.354088
0.9	0.041586
0.91	-0.1737
0.92	-0.108226
0.93	0.179466
0.94	0.32573
0.95	0.062488
0.96	-0.451766
0.97	-0.84935
0.98	-0.96857
0.99	-0.88539
1	-0.66608
1.01	-0.326222
1.02	0.011214
1.03	0.158688
1.04	0.118004
1.05	0.127486
1.06	0.373748
1.07	0.748444
1.08	0.961982
1.09	0.849442
1.1	0.513004
1.11	0.196304
1.12	0.076968
1.13	0.182076
1.14	0.434946
1.15	0.704694
1.16	0.827658
1.17	0.710464
1.18	0.488648
1.19	0.47484
1.2	0.81333
1.21	1.24965
1.22	1.39852
1.23	1.20075
1.24	0.935806
1.25	0.797702
1.26	0.67711
1.27	0.41693
1.28	0.075054
1.29	-0.181308
1.3	-0.29148
1.31	-0.303656
1.32	-0.29797
1.33	-0.4094
1.34	-0.77106
1.35	-1.285626
1.36	-1.59073
1.37	-1.453602
1.38	-1.127462
1.39	-1.09951
1.4	-1.482796
1.41	-1.849692
1.42	-1.732736
1.43	-1.154966
1.44	-0.572424
1.45	-0.372418
1.46	-0.532492
1.47	-0.753234
1.48	-0.82133
1.49	-0.768262
1.5	-0.68882
1.51	-0.499984
1.52	0.016682
1.53	0.9186
1.54	1.932538
1.55	2.653978
1.56	2.89112
1.57	2.75187
1.58	2.416798
1.59	1.927302
1.6	1.231404
1.61	0.343258
1.62	-0.628158
1.63	-1.540296
1.64	-2.192286
1.65	-2.309046
1.66	-1.761602
1.67	-0.84145
1.68	-0.108832
1.69	0.1323
1.7	0.02632
1.71	-0.242366
1.72	-0.73804
1.73	-1.416888
1.74	-1.817888
1.75	-1.57234
1.76	-1.038666
1.77	-0.881398
1.78	-1.073516
1.79	-0.93387
1.8	-0.250716
1.81	0.291638
1.82	0.10273
1.83	-0.48884
1.84	-0.843006
1.85	-0.957964
1.86	-1.254734
1.87	-1.729642
1.88	-1.907524
1.89	-1.507434
1.9	-0.69055
1.91	0.242928
1.92	1.003904
1.93	1.306516
1.94	1.128338
1.95	0.866018
1.96	0.854704
1.97	0.884176
1.98	0.584436
1.99	0.091146
2	-0.156826
2.01	-0.117506
2.02	-0.097538
2.03	-0.106538
2.04	0.158436
2.05	0.69643
2.06	1.12627
2.07	1.25649
2.08	1.211684
2.09	0.980194
2.1	0.417782
2.11	-0.20807
2.12	-0.265318
2.13	0.448802
2.14	1.423298
2.15	2.092282
2.16	2.33136
2.17	2.20318
2.18	1.748016
2.19	1.215668
2.2	0.993776
2.21	1.065744
2.22	0.97696
2.23	0.524662
2.24	0.016506
2.25	-0.322616
2.26	-0.66405
2.27	-1.08141
2.28	-1.33019
2.29	-1.426278
2.3	-1.847802
2.31	-2.739442
2.32	-3.45029
2.33	-3.350874
2.34	-2.653396
2.35	-1.931722
2.36	-1.293542
2.37	-0.618886
2.38	-0.217652
2.39	-0.528628
2.4	-1.329916
2.41	-1.869792
2.42	-1.727796
2.43	-1.088202
2.44	-0.298608
2.45	0.35287
2.46	0.553646
2.47	0.21757
2.48	-0.176066
2.49	0.024642
2.5	0.828988
2.51	1.526532
2.52	1.483246
2.53	0.771414
2.54	0.04326
2.55	0.014108
2.56	0.950266
2.57	2.345598
2.58	3.175364
2.59	2.795674
2.6	1.588712
2.61	0.5137
2.62	0.13228
2.63	0.294748
2.64	0.569926
2.65	0.621522
2.66	0.307318
2.67	-0.193366
2.68	-0.418772
2.69	-0.137692
2.7	0.268442
2.71	0.290988
2.72	0.04265
2.73	0.092942
2.74	0.615102
2.75	1.145484
2.76	1.200808
2.77	0.710222
2.78	-0.191574
2.79	-1.345066
2.8	-2.424546
2.81	-3.029024
2.82	-3.102648
2.83	-2.965632
2.84	-2.787376
2.85	-2.324594
2.86	-1.336376
2.87	0.006504
2.88	1.281416
2.89	2.14831
2.9	2.403388
2.91	1.99761
2.92	1.254528
2.93	0.878428
2.94	1.414868
2.95	2.634014
2.96	3.565892
2.97	3.254086
